Age,Employment_Type,Monthly_Income_INR,Monthly_Expenses_INR,Savings_INR,Current_Balance_INR,Existing_EMI_INR,Loan_Amount_INR,Credit_Utilization,Previous_Defaults,Credit_History_Years,Active_Loans,Loan_Purpose,Approved
35,Government,45747,31277,170830,50853,0,561666,0.9833891998951829,2,15,0,Business,0
43,Business,12000,8298,129526,17589,3216,144403,0.12053034106813132,0,15,3,Car,1
61,Private,25126,12881,209190,21952,8270,293711,0.920032394345507,0,4,4,Car,0
51,Private,16863,8533,18704,2841,4187,509121,0.19318988543912297,0,19,0,Home,1
27,Private,97538,40400,273246,17390,18241,1252862,0.719387840825833,1,2,1,Business,1
53,Private,85723,59907,223700,7494,0,3253985,0.7832961618364918,0,21,1,Home,1
31,Self Employed,57938,23736,193101,11694,14794,344196,0.8111370227839857,0,12,0,Personal,1
48,Private,52052,25045,421576,10716,0,532020,0.43771509572239453,0,6,0,Car,1
65,Business,67974,20471,98673,3413,0,2736913,0.16937176739140947,0,4,0,Home,1
32,Government,26930,11840,201838,20513,6008,130840,0.7960332807955555,0,5,2,Education,1
25,Private,103957,34157,439852,24181,0,1060616,0.6444571592612282,0,0,0,Business,1
31,Private,51834,30972,145435,27393,0,1816182,0.2579041063607771,0,3,1,Home,1
40,Private,85013,44581,321240,20609,13478,579520,0.39258527232243756,0,8,0,Personal,1
57,Private,82938,43863,629148,63097,0,642500,0.2976199612506928,0,12,2,Personal,1
38,Self Employed,67539,28001,201955,3152,18507,676704,0.9147910939165694,0,18,0,Car,1
33,Business,59145,37022,34648,30542,17790,670649,0.8037013989822342,0,5,0,Business,1
62,Business,56560,17042,81727,62326,8254,494438,0.8825306153659919,0,3,1,Personal,1
35,Self Employed,47203,20459,175291,3257,0,523642,0.05160011409197607,0,14,1,Business,1
64,Business,65497,36927,200041,22573,0,605059,0.6610221016358093,0,19,0,Car,1
41,Private,55477,36790,50626,28676,10115,2057180,0.2676028497539005,0,21,2,Home,1
43,Self Employed,36599,14414,364299,8355,0,276209,0.7481980903041587,0,0,1,Personal,1
42,Private,70673,36498,252899,10730,19845,385441,0.8910882204098772,0,12,2,Education,1
62,Private,58005,29883,512284,48196,12663,747129,0.7659233701383603,0,10,1,Car,1
58,Private,101303,65813,361459,27138,18531,2940369,0.910857364094219,0,3,1,Home,1
46,Private,16543,5297,21572,13384,1331,91889,0.39872559807858277,0,10,0,Education,1
32,Private,50097,23535,325242,45413,2525,486225,0.6241613373275514,0,7,2,Car,1
62,Business,31731,11835,94246,43197,0,147494,0.474855530854399,0,2,0,Education,1
18,Private,35933,11089,14938,14712,4680,388624,0.8300787959141668,0,0,0,Car,1
42,Government,68586,24609,470905,22120,0,589352,0.5630666578372026,1,22,1,Personal,1
24,Private,20709,14301,9956,34765,0,263478,0.7098679577461477,0,4,0,Business,1
26,Government,53097,20492,173584,14613,0,1604262,0.6309224287426604,2,5,0,Home,0
41,Government,49924,33649,181918,31747,4332,274289,0.8621345565097249,0,10,2,Education,1
18,Private,26108,9975,45359,10673,7586,323418,0.5282994182531028,0,0,0,Car,1
61,Private,53897,36246,58000,12360,14439,344976,0.10882445361228488,0,4,2,Personal,1
25,Private,31041,17440,200022,13161,0,924933,0.9488901882960723,0,5,0,Home,1
41,Self Employed,183228,63266,1096107,84491,47067,5403516,0.5559359220844753,1,13,1,Home,0
28,Self Employed,100828,53717,451129,55813,0,766486,0.7827888903367285,0,3,0,Personal,1
34,Private,51039,21814,317907,26983,7014,301913,0.6790334305431059,0,11,1,Personal,1
25,Private,37833,17148,204342,26894,11755,433510,0.43164862589909714,0,0,4,Car,1
52,Private,66332,31578,581697,3733,0,2534085,0.9512941291993419,0,22,0,Home,0
52,Self Employed,77690,36443,837128,33452,0,630278,0.7328534422451799,0,6,1,Personal,1
50,Government,57109,32303,367926,13930,0,2059316,0.23151596500674587,0,24,4,Home,1
22,Government,26659,16191,64212,30425,0,262014,0.9958131453615631,0,1,0,Car,1
59,Self Employed,43228,18660,567348,57021,4429,354952,0.9998628872702596,0,19,0,Personal,1
56,Private,51369,34404,670246,3396,0,710080,0.28951526446536224,0,21,0,Business,1
58,Government,58347,39406,172990,30023,0,371480,0.9851868574442522,0,20,1,Personal,1
45,Private,59161,18711,405544,26917,17368,2328093,0.6173796922801537,0,24,0,Home,0
24,Business,76000,23253,342140,8949,6815,1013445,0.18522511441035483,0,4,1,Business,1
26,Business,109648,51537,107095,33190,29270,4417077,0.9782490810073313,0,4,0,Home,0
25,Self Employed,89997,48261,560379,26279,0,608539,0.10190218297313491,0,7,4,Personal,1
29,Private,69856,28722,297176,45742,0,907616,0.6374077111480698,0,7,0,Car,1
51,Private,23048,9305,209266,5516,0,112071,0.8371116349297355,0,0,1,Education,1
50,Business,99888,57069,305793,19588,0,962135,0.8292777502870797,0,4,1,Car,1
65,Business,80120,43319,431077,187448,18295,747534,0.006203028909279151,0,12,1,Car,1
40,Private,42046,15424,78906,37065,0,227737,0.42517858583931645,0,13,0,Education,1
41,Self Employed,49903,32626,169137,36588,0,469332,0.08875821763214775,0,6,0,Business,1
54,Private,50988,29164,384824,13476,0,1641772,0.2596146518892759,0,3,1,Home,1
52,Private,37695,16775,441176,4957,11633,438323,0.9380265840587022,0,4,0,Car,1
61,Self Employed,17174,9848,157244,91570,1509,500000,0.884428748451304,0,23,0,Home,1
57,Private,25086,8656,111221,5343,6192,330470,0.6592059166163003,0,6,1,Business,1
39,Business,28455,13866,30875,149622,7416,304927,0.8984084830231005,0,18,5,Business,1
44,Government,15052,5533,114018,6032,3230,136403,0.31624014254288535,0,7,1,Car,1
52,Private,25135,7957,159073,7622,0,264301,0.8281428371466527,0,10,4,Car,1
18,Business,97218,42321,459801,13060,0,920600,0.684950908405843,1,0,0,Car,1
52,Business,65614,23640,721986,23546,16844,812175,0.7339895414211043,1,14,2,Car,1
54,Private,27375,15149,323378,48876,3713,282933,0.08574771036626905,0,7,1,Car,1
64,Private,32437,18476,40949,108222,6098,200204,0.34896920667873543,0,20,1,Personal,1
31,Private,102488,36842,670740,15333,31485,3400245,0.048713576274983184,0,10,0,Home,1
20,Private,100980,31288,131920,2618,7761,3347916,0.15050151348117258,0,0,0,Home,1
18,Business,51120,31547,150092,30766,10659,259531,0.27149656920906406,0,0,0,Education,1
22,Business,99198,29841,280480,39218,19425,514991,0.5856838806234517,0,3,1,Education,1
43,Private,30960,13547,212429,17197,0,191249,0.7598813733293621,0,4,1,Education,1
31,Government,56185,27970,87134,8080,12880,432238,0.10847687128357886,0,11,1,Personal,1
56,Government,20239,12699,148348,12959,1106,209499,0.05469321169398389,0,17,1,Business,1
44,Business,39395,25032,44899,33995,0,1570430,0.8836383010480202,2,9,2,Home,0
26,Private,49853,29412,34888,22447,0,508789,0.13039244245210735,2,0,2,Car,0
32,Private,17835,7114,103358,42809,3653,200083,0.4483063415852243,0,9,2,Car,1
32,Private,69973,41149,570064,9383,7958,796674,0.11274436074246585,0,1,0,Car,1
43,Private,77351,30833,701855,57352,0,382013,0.5350464110378769,0,1,0,Education,1
59,Government,89919,34694,710664,7083,21954,912320,0.10626412655560025,0,7,3,Car,1
30,Private,198898,103198,182793,14010,0,1438507,0.7622884714940948,0,3,1,Personal,1
49,Business,62945,35975,86119,28836,8924,414067,0.08557929225120553,0,9,1,Personal,1
56,Business,47171,15152,148297,42052,0,242641,0.43020283978820895,0,22,2,Education,1
49,Self Employed,18746,6073,239392,11284,0,142817,0.42057479353889193,0,17,4,Personal,1
21,Government,62017,38057,151505,90764,11809,750755,0.9207701365870787,0,0,4,Car,1
47,Private,68573,44147,733276,38736,17183,559979,0.4298072672821891,0,11,0,Personal,1
54,Private,21728,11771,226393,9364,0,134405,0.07094076658989801,0,22,0,Personal,1
40,Private,42444,20013,285264,40813,6100,338687,0.5434143767530512,3,19,1,Personal,0
56,Business,49349,31490,700898,37754,10739,641677,0.724954982100017,0,22,1,Car,1
62,Private,67353,39841,310141,43912,0,2350298,0.33735075849802143,0,4,2,Home,1
32,Government,81940,43578,341890,76265,0,945101,0.6085765030266413,2,2,1,Car,0
60,Business,35527,15202,496342,39314,4253,464934,0.12165770246035046,0,17,0,Car,1
46,Business,55315,20975,393395,15011,0,2146158,0.42532235131892027,0,9,0,Home,1
53,Government,69164,32332,286942,48893,0,2391924,0.16591672834450932,0,8,0,Home,1
30,Private,43955,18229,90849,37708,5305,568229,0.2736523328494358,0,0,2,Business,1
49,Private,38067,16585,382172,27617,0,367631,0.6410109478083547,0,0,0,Car,1
24,Private,75173,38056,35837,15100,0,528869,0.7536069388817508,0,3,1,Personal,1
39,Private,44062,16198,421381,78167,9731,348825,0.31150847957800476,0,15,0,Personal,1
45,Private,23902,14878,22879,23569,4766,159481,0.9898131862451293,1,1,1,Personal,0
19,Business,111728,40022,370251,31674,29959,3707160,0.2847915218300966,0,0,0,Home,1
59,Private,25545,12578,252981,18102,0,123826,0.1501459451854703,0,8,2,Education,1
62,Government,46318,27716,463120,47535,6280,299446,0.8674566182986198,0,9,0,Education,1
23,Private,59459,29373,184965,14512,0,804735,0.649711877114856,0,2,2,Business,1
45,Private,64416,28627,666051,51922,0,2158643,0.6795601193075074,0,22,0,Home,1
45,Business,54272,26590,443266,5426,0,346837,0.7943082126584226,0,3,1,Personal,1
61,Private,12000,7673,155280,39029,1910,71728,0.9994907021444656,1,14,1,Education,1
61,Private,32160,22388,89352,21438,10240,962554,0.2841216756834748,0,22,1,Home,1
37,Private,58558,32350,63138,37994,0,291151,0.548051262496867,0,9,1,Education,1
47,Self Employed,45914,28346,51356,24739,0,604267,0.7042568098147716,0,25,3,Car,1
28,Private,66635,20376,99759,6326,20791,619519,0.14621696263407324,0,3,0,Car,1
45,Self Employed,90481,59006,746815,21444,22854,1006195,0.30682457369340677,0,11,2,Business,1
42,Private,66437,45284,391129,102196,0,751636,0.30664678748108876,0,6,3,Car,1
56,Private,31653,16778,362897,44175,5549,194514,0.32745996970338775,1,5,0,Personal,1
50,Private,35486,21345,114618,12708,10277,320398,0.7182071633869771,0,14,1,Car,1
18,Business,130465,65897,254580,88533,20884,4484873,0.5925388049804533,0,0,0,Home,0
44,Business,44025,18247,462562,47280,11909,435116,0.7158909062980741,1,18,2,Business,1
30,Private,46293,29669,348024,15597,0,1409114,0.5123697393669809,0,9,0,Home,1
58,Private,66564,35860,953977,29757,11419,736094,0.9554612864861902,0,17,1,Car,1
20,Government,102984,54762,455689,18689,0,1070540,0.5206551265829965,0,0,1,Car,1
56,Private,28545,16089,301681,5050,2498,225578,0.6035409371545573,0,20,1,Personal,1
23,Private,36400,23383,205186,51201,0,1458061,0.2982930624693134,0,0,4,Home,1
25,Business,18725,11099,91383,8361,0,150302,0.05876019483373285,0,6,1,Personal,1
44,Business,41034,15775,460673,20376,0,358899,0.8155003335906381,0,23,2,Personal,1
26,Private,68909,33540,40963,38384,11823,728961,0.8564513903660484,0,4,4,Car,1
54,Private,39397,27267,525641,82741,9603,264781,0.8508633123028329,0,0,2,Personal,1
50,Business,140911,73530,1096300,3943,0,908978,0.801656550161777,0,20,2,Personal,1
59,Self Employed,52560,35493,138356,16988,0,338285,0.2686087947667263,0,13,0,Education,1
61,Government,46103,28830,197969,30607,0,514993,0.5748115061018642,0,17,0,Business,1
41,Private,39684,22477,373742,47329,0,502831,0.8149267450937809,0,2,1,Business,1
32,Private,21678,9532,99334,78123,5089,784024,0.625428158520822,0,8,3,Home,0
49,Private,46434,19582,596964,2014,13195,422974,0.9585629193161485,1,2,0,Car,1
49,Private,60780,33876,137145,31646,16985,510279,0.6776938573738741,0,0,2,Personal,1
41,Government,45668,21602,224298,2208,14489,1535428,0.5606767967390641,0,6,0,Home,1
58,Private,56312,34885,325418,48429,0,585240,0.9953957823522475,0,12,1,Business,1
29,Private,32780,19805,138505,6863,8698,1320428,0.5345450544585848,0,7,2,Home,1
56,Government,23229,9868,227678,69505,6379,283197,0.9669619010788424,1,7,0,Car,1
19,Private,45994,26726,159111,7056,13440,1627360,0.012144351637739415,0,1,1,Home,1
20,Self Employed,55958,27857,19015,45359,16863,487535,0.550077954497324,0,2,2,Personal,1
54,Business,44302,19019,93076,12245,6902,272455,0.2889835722019284,0,10,1,Education,1
34,Private,55387,25765,47893,26442,15759,549116,0.39563430109810704,0,10,0,Business,1
19,Private,78118,51412,345555,30128,0,1034706,0.08792687737039562,0,0,1,Car,1
19,Business,77940,34590,140666,8948,0,451683,0.26421692512532924,1,1,0,Education,1
45,Private,81995,34024,400091,12644,5286,549689,0.569651127902307,1,19,0,Personal,1
40,Private,89607,39491,463302,5412,0,563261,0.7213209467738313,0,9,0,Education,1
54,Private,66055,25487,816810,2159,7597,1829117,0.9103301298168284,0,16,2,Home,1
49,Private,60705,31436,60110,10212,19786,469779,0.23175448266667453,0,8,0,Personal,1
50,Private,157279,56459,364267,23770,13846,4591993,0.795429074042905,2,4,1,Home,0
18,Business,78446,49183,265401,39510,0,365348,0.024539346905408155,1,0,3,Education,1
36,Private,29522,11520,273817,49332,9155,939663,0.8938203874911784,0,5,1,Home,0
19,Private,16029,8643,54016,4169,5021,510706,0.5947513102058545,0,0,0,Home,1
61,Business,42417,14846,212034,11540,7424,515570,0.8457468746228787,0,11,0,Business,1
43,Government,71313,49304,449643,46119,14161,533382,0.2551975133920763,1,25,5,Personal,1
49,Private,87148,41990,1112023,21667,12808,1094875,0.3730111893211291,0,5,0,Business,1
23,Private,23149,14557,79164,8033,0,146731,0.09708973586357827,0,2,1,Personal,1
49,Private,75936,46128,409457,16937,0,635578,0.07887176391764095,0,8,2,Personal,1
21,Government,96839,56697,228829,11442,8757,617612,0.8264617837409125,0,2,0,Education,1
28,Private,70632,44564,511086,3559,0,693190,0.29699459233873027,0,9,2,Car,1
34,Private,62908,21400,420065,45270,0,2104038,0.3526369305815015,0,6,1,Home,1
55,Self Employed,45266,25864,469195,12346,7741,328347,0.5305973004024133,0,2,1,Personal,1
41,Private,37197,15114,113893,89084,11358,316798,0.6706742101488841,0,13,3,Personal,1
22,Private,78537,48249,270468,67711,19347,509112,0.04664106183082162,2,2,0,Education,0
51,Government,69564,47494,375541,39792,0,1944671,0.5742289589533983,0,2,4,Home,1
23,Private,40284,26611,71080,13864,11825,347411,0.6100611771294174,0,2,0,Personal,1
39,Government,225317,77955,2113841,11851,0,6302102,0.8503825683741469,0,20,0,Home,1
28,Business,19813,8872,62386,21346,0,147274,0.1546400078422504,0,6,0,Personal,1
65,Private,42647,19009,242176,15136,4644,219938,0.45028427910439695,0,21,0,Education,1
33,Private,30858,10766,254167,71427,0,326646,0.4742091168532503,0,4,0,Car,1
50,Self Employed,61728,20941,203712,5954,0,472720,0.8475547213559975,0,19,1,Personal,1
26,Private,15223,6910,80363,40671,1243,174176,0.3624765186007002,0,4,2,Car,1
23,Private,104983,73155,434275,30317,10720,507664,0.08104217634250299,0,5,0,Education,1
33,Self Employed,89614,47278,729816,51243,30191,775906,0.6012538527476677,1,13,0,Personal,1
46,Business,57550,31578,594791,25458,0,1578646,0.6619548885728622,0,14,0,Home,1
20,Self Employed,40692,19874,157063,31790,0,445695,0.582400598824197,0,0,1,Business,1
37,Government,75341,42562,265686,100695,20894,986483,0.4898728092126605,0,13,0,Business,1
53,Private,59708,40760,444802,4894,17561,496282,0.21313671953518132,0,21,0,Personal,1
36,Self Employed,86786,46472,789792,5323,0,541612,0.5386274810690505,0,16,0,Education,1
43,Government,45548,14849,44003,17006,0,1461161,0.03608707053731053,0,6,1,Home,1
20,Private,43963,21856,189260,21201,14495,1589183,0.5667425221044657,0,1,4,Home,0
36,Business,93586,65238,268244,8689,21115,577161,0.4890956012764488,0,3,4,Education,1
37,Government,71696,32618,166913,4588,0,2499153,0.9526249356495171,0,1,2,Home,0
49,Self Employed,44160,23738,161688,2672,13739,1599659,0.3199535584371037,0,24,0,Home,0
24,Private,61126,20945,46364,45393,0,455084,0.021756369824624366,0,4,3,Personal,1
58,Private,54769,19523,840724,21910,19091,1521804,0.7601165032050191,0,21,0,Home,1
50,Government,64881,42164,759542,57622,8746,1994318,0.16767128826894218,0,3,1,Home,1
57,Self Employed,104995,44112,879338,15427,31881,3836909,0.5444645432470948,0,1,3,Home,0
56,Private,39738,16776,434923,38465,9287,259692,0.21483371780354954,0,7,1,Personal,1
35,Private,33298,15146,181592,22113,0,238375,0.5394271866269615,2,12,0,Personal,0
57,Self Employed,57772,39665,723016,30407,18193,1979939,0.5810026518210134,0,3,1,Home,1
18,Self Employed,35527,11857,145711,15870,0,276653,0.6617091124037671,0,0,2,Personal,1
28,Business,28380,17808,59490,4539,1911,866920,0.3729977863016234,0,7,1,Home,1
45,Private,88976,38848,526930,90336,29153,1022526,0.061103884837144795,0,8,0,Car,1
42,Private,41261,26398,303924,56253,0,1448613,0.5969024698195432,0,8,0,Home,1
40,Business,15981,11133,167018,13214,1782,614770,0.8645189613357994,1,22,0,Home,0
48,Private,81507,35819,732933,97608,5096,2812591,0.5254468822235506,0,8,0,Home,1
47,Private,37688,13256,427025,12721,0,192975,0.2502492309912262,0,14,4,Education,1
59,Government,69334,24804,933477,19555,19262,817521,0.41346697738450366,1,0,0,Business,1
52,Self Employed,93907,56672,791963,44211,0,441489,0.5402462259144335,0,18,4,Education,1
24,Private,54928,19662,316491,13088,13186,1936789,0.08766293369989486,0,0,1,Home,1
33,Self Employed,14453,5841,52951,13769,0,122877,0.5680854327251007,1,13,1,Personal,1
43,Private,15090,5760,72340,17833,4156,85168,0.10929830053644307,0,4,3,Education,1
65,Private,32746,14482,451044,20955,0,1014910,0.17785582576960568,0,5,5,Home,1
19,Private,47376,15622,45279,5958,0,504657,0.39302712653666216,0,0,4,Car,1
18,Government,100718,64731,168824,2529,30096,1294229,0.799348610036461,0,0,1,Car,1
65,Private,58384,37602,640626,77457,0,727280,0.8238013623924915,0,21,1,Car,1
29,Private,235711,109646,831779,15071,66437,1500000,0.2826274706954798,0,2,0,Personal,1
22,Private,20033,10914,110995,5217,0,694545,0.5379619463254569,0,1,1,Home,1
54,Self Employed,52721,29354,729649,44710,9506,559465,0.09369000159427698,1,21,1,Car,1
49,Self Employed,37523,22502,261658,12489,9740,178514,0.9977064723135476,0,19,0,Education,1
26,Self Employed,56431,28682,222182,8014,3071,489556,0.6539520914566015,0,7,3,Personal,1
58,Government,140225,70692,1608907,100591,21303,4131675,0.22419324129220142,0,1,0,Home,1
52,Private,145648,80473,992024,77976,41270,731807,0.8997065919659936,0,15,1,Education,1
36,Private,50649,29438,117044,5352,14126,619980,0.34975284649318616,0,14,0,Car,1
65,Business,82199,36058,1086800,70863,25993,855660,0.27525184249282386,0,5,1,Car,1
33,Self Employed,55788,24108,370250,68455,0,638321,0.29743323352421047,0,1,1,Car,1
20,Self Employed,25714,10488,40068,32184,0,314459,0.4860286303911282,0,1,1,Car,1
37,Private,49443,25687,411422,24633,10744,368463,0.03345375840469922,0,16,0,Personal,1
41,Private,36204,16076,252459,9355,0,1219282,0.6514521292372367,0,15,0,Home,1
50,Private,47208,24365,178781,5882,0,215982,0.9477588881895831,0,23,0,Education,1
41,Private,29399,13593,216574,29970,8339,213221,0.8155338919263123,0,19,0,Personal,1
28,Government,53803,34148,113090,53771,13860,617375,0.8110736852805122,0,4,1,Business,1
25,Business,58887,19388,122153,37004,0,792822,0.7740581813347366,0,7,2,Business,1
53,Private,74798,39559,906511,7982,5694,810628,0.3567610275805898,0,14,2,Car,1
55,Private,59036,31303,808626,12275,0,2099356,0.19043153667064272,0,25,3,Home,1
57,Government,130713,59276,602662,25717,11024,1057041,0.31435074895564075,0,0,0,Personal,1
37,Business,182648,85553,1680569,31424,0,1995896,0.17279493439401794,0,13,1,Car,1
52,Private,38456,23844,152710,4249,0,385003,0.8509347356921625,0,18,1,Car,1
65,Self Employed,87731,36168,262221,30561,27043,1124275,0.42103050938320263,0,9,1,Car,1
42,Business,174339,113069,228619,41990,55754,1471734,0.8119696177136064,0,21,1,Personal,1
52,Private,89114,58684,357715,8003,0,753404,0.29030732700900697,0,18,3,Personal,1
42,Private,75387,42235,357718,10479,17539,499530,0.14375218921675859,0,8,0,Personal,1
46,Government,16430,10008,187851,10988,3760,514396,0.8705822125396299,1,10,0,Home,0
35,Private,35071,19119,94769,86307,0,453294,0.7989173487846599,0,2,1,Car,1
63,Self Employed,38282,19527,260550,17677,0,1100364,0.5561365478259458,0,11,1,Home,1
35,Self Employed,112680,77374,789570,24687,7741,667661,0.12327484553099088,0,1,0,Education,1
19,Private,31622,13061,55386,40654,0,161720,0.33633737182332324,0,1,1,Education,1
52,Private,46572,16843,454703,15930,10064,282750,0.05754746988697956,0,3,1,Education,1
33,Private,81158,33680,333936,5346,17435,1074895,0.8981994804892234,0,11,0,Business,1
58,Government,30778,16800,117421,33867,3007,1002168,0.2402596728266151,0,17,3,Home,1
53,Private,57956,21679,614890,35013,16518,363479,0.5232752458181825,0,19,1,Personal,1
50,Private,53597,35562,62779,11055,14449,684455,0.9418575449815851,0,14,1,Business,1
21,Private,82972,38533,156382,3075,0,755310,0.6231224718040607,1,2,0,Car,1
50,Self Employed,72788,46583,384728,34840,15676,327215,0.6230501878150996,0,24,5,Education,1
31,Private,71422,28546,290534,38463,20505,599113,0.8328470248239421,0,4,1,Personal,1
38,Private,55296,23515,392164,2792,0,728010,0.6934216402191062,0,6,0,Business,1
65,Private,17933,5804,153303,37445,0,205035,0.4857617509483816,0,25,0,Car,1
37,Business,53305,21487,325915,85871,10213,629150,0.12218937326226498,0,9,0,Car,1
25,Private,50674,25140,209804,7909,15380,2023081,0.4966654598500141,0,1,0,Home,0
24,Government,77646,52679,204956,24101,0,2165668,0.1819444361274165,0,3,0,Home,1
20,Private,38034,17326,190291,37798,3624,394043,0.49185299989322906,1,1,1,Business,1
